Time,Energy
22565,12503.18
22566,13247.64
22567,13976.64
22568,14596.56
22569,14990.18
22570,15215.39
22571,15351.11
22572,15517.0
22573,15176.48
22574,15116.88
22575,15337.31
22576,15399.03
22577,15722.65
22578,16094.28
22579,16384.56
22580,16309.1
22581,15564.75
22582,14377.48
22583,13490.24
22584,12936.24
22585,12763.41
22586,12847.81
22587,13039.36
22588,13394.49
22589,15792.7
22590,17934.04
22591,18761.55
22592,19036.76
22593,18932.8
22594,18989.34
22595,19192.93
22596,19271.83
22597,19026.61
22598,19378.03
22599,19056.44
22600,19139.46
22601,18980.24
22602,19171.81
22603,19391.26
22604,18845.81
22605,17370.51
22606,16071.96
22607,14989.98
22608,14442.38
22609,14191.8
22610,14101.65
22611,14170.04
22612,14510.81
22613,16407.85
22614,18149.96
22615,19223.99
22616,19728.4
22617,19829.04
22618,20200.01
22619,20411.74
22620,20460.89
22621,19920.26
22622,19800.45
22623,19883.16
22624,19724.54
22625,19500.7
22626,19595.95
22627,19553.58
22628,18842.03
22629,17410.68
22630,16056.26
22631,14956.98
22632,14299.93
22633,13912.76
22634,13907.14
22635,14010.1
22636,14288.51
22637,16221.24
22638,17987.86
22639,18981.86
22640,19092.28
22641,18894.63
22642,18903.34
22643,18747.93
22644,18928.41
22645,18875.11
22646,18818.09
22647,19096.18
22648,19132.34
22649,19010.26
22650,19372.83
22651,19494.25
22652,18858.36
22653,17429.81
22654,15935.53
22655,14886.8
22656,14295.45
22657,13951.19
22658,14057.98
22659,14134.26
22660,14453.65
22661,16569.21
22662,18490.6
22663,19473.94
22664,20068.95
22665,20111.06
22666,20333.48
22667,20527.4
22668,20502.5
22669,19904.08
22670,19861.89
22671,19556.09
22672,19232.25
22673,18935.83
22674,19146.96
22675,19425.53
22676,19040.36
22677,17586.11
22678,16198.25
22679,15104.09
22680,14448.06
22681,14085.09
22682,14010.73
22683,14111.78
22684,14427.31
22685,16373.79
22686,18264.66
22687,19365.33
22688,19411.69
22689,19134.64
22690,19414.49
22691,19442.3
22692,19553.73
22693,19368.31
22694,19682.83
22695,19695.86
22696,19650.94
22697,19584.38
22698,19814.58
22699,19925.46
22700,19376.29
22701,17997.45
22702,16609.63
22703,15417.79
22704,14701.08
22705,14380.58
22706,14146.84
22707,13920.7
22708,13721.64
22709,14572.8
22710,15603.08
22711,16803.69
22712,17737.91
22713,18328.23
22714,18347.64
22715,18210.14
22716,18035.68
22717,17900.94
22718,17880.94
22719,17580.51
22720,17362.79
22721,17371.41
22722,17369.83
22723,17354.31
22724,16839.88
22725,15685.13
22726,14412.8
22727,13263.88
22728,12818.91
22729,12571.61
22730,12463.46
22731,12347.5
22732,11969.86
22733,12503.64
22734,13292.81
22735,14355.68
22736,15210.78
22737,15668.79
22738,15955.94
22739,16111.56
22740,15943.3
22741,15875.86
22742,15331.34
22743,15224.04
22744,15414.86
22745,15527.93
22746,15783.11
22747,16033.36
22748,15845.7
22749,15048.81
22750,14008.51
22751,13089.99
22752,12657.53
22753,12496.39
22754,12449.46
22755,12671.11
22756,13133.7
22757,15585.1
22758,17595.15
22759,18777.2
22760,19170.9
